id;produto;comodo;status;preco_atual;cliques_anterior;cliques_atual;variacao_cliques;variacao_percentual;tendencia;score_venda;probabilidade_venda;acao_recomendada;preco_sugerido;motivo
"15";"Mesa de jantar com 6 cadeiras";"Sala";"Disponivel";"499";"37";"39";"2";"5.41%";"Estavel";"87";"Alta";"Manter preco e reforcar divulgacao";"499";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"16";"Smart TV LG 49"" UHD 4K";"Sala";"Disponivel";"1099";"32";"32";"0";"0.00%";"Estavel";"74";"Alta";"Melhorar anuncio e testar pequeno desconto";"1044";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"19";"Geladeira Electrolux inox";"Cozinha";"Disponivel";"1590";"32";"32";"0";"0.00%";"Estavel";"74";"Alta";"Melhorar anuncio e testar pequeno desconto";"1511";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"12";"Teclado sem fio Logitech K400 Plus";"Escritorio";"Disponivel";"99";"10";"11";"1";"10.00%";"Crescendo";"66";"Media";"Manter preco";"99";"O interesse esta crescendo. Melhor aguardar antes de conceder desconto."
"11";"Teclado gamer HyperX Alloy MKW100";"Escritorio";"Disponivel";"149";"8";"9";"1";"12.50%";"Crescendo";"64";"Media";"Manter preco";"149";"O interesse esta crescendo. Melhor aguardar antes de conceder desconto."
"3";"Comoda 2,07m com gavetas e portas";"Suite";"Disponivel";"1299";"20";"20";"0";"0.00%";"Estavel";"62";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"17";"Fogao Consul 4 bocas";"Cozinha";"Disponivel";"799";"15";"15";"0";"0.00%";"Estavel";"59";"Media";"Melhorar anuncio e testar pequeno desconto";"759";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"5";"Criado-mudo 4 gavetas";"Dormitorio 2";"Disponivel";"699";"14";"15";"1";"7.14%";"Estavel";"59";"Media";"Melhorar anuncio e testar pequeno desconto";"664";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"6";"Guarda-roupa 3 portas e 3 gavetas";"Dormitorio 2";"Disponivel";"1699";"18";"18";"0";"0.00%";"Estavel";"56";"Media";"Melhorar anuncio e testar pequeno desconto";"1614";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"7";"Comoda 4 gavetas e 1 porta";"Dormitorio 2";"Disponivel";"1299";"11";"11";"0";"0.00%";"Estavel";"52";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"13";"Rack classico com vidro";"Sala";"Disponivel";"1199";"6";"6";"0";"0.00%";"Estavel";"47";"Media";"Melhorar anuncio e testar pequeno desconto";"1139";"Interesse medio. Um ajuste leve pode acelerar a conversao."
