id;produto;comodo;status;preco_atual;cliques_anterior;cliques_atual;variacao_cliques;variacao_percentual;tendencia;score_venda;probabilidade_venda;acao_recomendada;preco_sugerido;motivo
"15";"Mesa de jantar com 6 cadeiras";"Sala";"Disponível";"499";"37";"39";"2";"5.41%";"Estável";"87";"Alta";"Manter preço e reforçar divulgação";"499";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"16";"Smart TV LG 49"" UHD 4K";"Sala";"Disponível";"1099";"32";"32";"0";"0.00%";"Estável";"74";"Média";"Melhorar anúncio e testar pequeno desconto";"1044";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"19";"Geladeira Electrolux inox";"Cozinha";"Disponível";"1590";"32";"32";"0";"0.00%";"Estável";"74";"Média";"Melhorar anúncio e testar pequeno desconto";"1511";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"12";"Teclado sem fio Logitech K400 Plus";"Escritório";"Disponível";"99";"10";"11";"1";"10.00%";"Crescendo";"66";"Média";"Manter preço";"99";"O interesse está crescendo. Melhor aguardar antes de conceder desconto."
"11";"Teclado gamer HyperX Alloy MKW100";"Escritório";"Disponível";"149";"8";"9";"1";"12.50%";"Crescendo";"64";"Média";"Manter preço";"149";"O interesse está crescendo. Melhor aguardar antes de conceder desconto."
"3";"Cômoda 2,07m com gavetas e portas";"Suíte";"Disponível";"1299";"20";"20";"0";"0.00%";"Estável";"62";"Média";"Melhorar anúncio e testar pequeno desconto";"1234";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"17";"Fogão Consul 4 bocas";"Cozinha";"Disponível";"799";"15";"15";"0";"0.00%";"Estável";"59";"Média";"Melhorar anúncio e testar pequeno desconto";"759";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"5";"Criado-mudo 4 gavetas";"Dormitório 2";"Disponível";"699";"14";"15";"1";"7.14%";"Estável";"59";"Média";"Melhorar anúncio e testar pequeno desconto";"664";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"6";"Guarda-roupa 3 portas e 3 gavetas";"Dormitório 2";"Disponível";"1699";"18";"18";"0";"0.00%";"Estável";"56";"Média";"Melhorar anúncio e testar pequeno desconto";"1614";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"7";"Cômoda 4 gavetas e 1 porta";"Dormitório 2";"Disponível";"1299";"11";"11";"0";"0.00%";"Estável";"52";"Média";"Melhorar anúncio e testar pequeno desconto";"1234";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"13";"Rack clássico com vidro";"Sala";"Disponível";"1199";"6";"6";"0";"0.00%";"Estável";"47";"Média";"Melhorar anúncio e testar pequeno desconto";"1139";"Interesse médio. Um ajuste leve pode acelerar a conversão."
