produto;preco_atual;score_venda;probabilidade_venda;acao_recomendada;preco_sugerido;motivo
"Mesa de jantar com 6 cadeiras";"499";"87";"Alta";"Manter preço e reforçar divulgação";"499";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"Smart TV LG 49"" UHD 4K";"1099";"74";"Média";"Melhorar anúncio e testar pequeno desconto";"1044";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Geladeira Electrolux inox";"1590";"74";"Média";"Melhorar anúncio e testar pequeno desconto";"1511";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Teclado sem fio Logitech K400 Plus";"99";"66";"Média";"Manter preço";"99";"O interesse está crescendo. Melhor aguardar antes de conceder desconto."
"Teclado gamer HyperX Alloy MKW100";"149";"64";"Média";"Manter preço";"149";"O interesse está crescendo. Melhor aguardar antes de conceder desconto."
"Cômoda 2,07m com gavetas e portas";"1299";"62";"Média";"Melhorar anúncio e testar pequeno desconto";"1234";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Fogão Consul 4 bocas";"799";"59";"Média";"Melhorar anúncio e testar pequeno desconto";"759";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Criado-mudo 4 gavetas";"699";"59";"Média";"Melhorar anúncio e testar pequeno desconto";"664";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Guarda-roupa 3 portas e 3 gavetas";"1699";"56";"Média";"Melhorar anúncio e testar pequeno desconto";"1614";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Cômoda 4 gavetas e 1 porta";"1299";"52";"Média";"Melhorar anúncio e testar pequeno desconto";"1234";"Interesse médio. Um ajuste leve pode acelerar a conversão."
"Rack clássico com vidro";"1199";"47";"Média";"Melhorar anúncio e testar pequeno desconto";"1139";"Interesse médio. Um ajuste leve pode acelerar a conversão."
